sample_name,Database,Plasmid,Identity,Query / Template length,Contig,Position in contig,Note,Accession number
SRR17179109,enterobacteriales,Col(BS512),100.0,233 / 233,NODE_61_length_2165_cov_4373.716475,651..883,,NC010656
SRR17179109,enterobacteriales,IncFIA,99.74,388 / 388,NODE_40_length_8851_cov_149.087189,5022..5409,,AP001918
SRR17179109,enterobacteriales,IncFIB(AP001918),98.39,682 / 682,NODE_39_length_13863_cov_167.150442,8716..9397,,AP001918
SRR17179109,enterobacteriales,IncFII(pAMA1167-NDM-5),100.0,261 / 261,NODE_87_length_533_cov_152.230263,219..479,,CP024805
SRR17179109,enterobacteriales,IncFII(pCoo),94.72,265 / 262,NODE_30_length_44810_cov_217.393378,41847..42109,,CR942285
SRR17179109,enterobacteriales,IncQ1,98.11,529 / 796,NODE_48_length_4524_cov_96.657972,70..588,,M28829
SRR17179109,enterobacteriales,IncY,99.74,765 / 765,NODE_18_length_90336_cov_112.801671,30574..31338,,K02380
SRR17179127,enterobacteriales,Col(pHAD28),92.37,131 / 131,NODE_86_length_6277_cov_161.403710,1791..1921,,KU674895
SRR17179127,enterobacteriales,ColRNAI,91.74,109 / 130,NODE_96_length_3241_cov_755.059418,17..125,,DQ298019
SRR17179127,enterobacteriales,IncFIA,99.48,388 / 388,NODE_60_length_22104_cov_95.256186,6078..6464,,AP001918
SRR17179127,enterobacteriales,IncFIB(AP001918),98.39,682 / 682,NODE_93_length_4105_cov_126.952582,1514..2195,,AP001918
SRR17179127,enterobacteriales,IncFII,95.79,261 / 261,NODE_77_length_11342_cov_104.715047,3603..3863,,AY458016
SRR17179127,enterobacteriales,IncFII,95.42,262 / 261,NODE_80_length_9837_cov_110.519467,8296..8557,,AY458016
SRR17179180,enterobacteriales,IncFIB(AP001918),98.53,682 / 682,NODE_45_length_35059_cov_47.678177,2042..2723,,AP001918
SRR17179180,enterobacteriales,IncFII,95.04,262 / 261,NODE_45_length_35059_cov_47.678177,10352..10610,,AY458016
SRR17179181,enterobacteriales,IncFIB(AP001918),98.53,682 / 682,NODE_44_length_35287_cov_56.244561,2270..2951,,AP001918
SRR17179181,enterobacteriales,IncFII,95.04,262 / 261,NODE_44_length_35287_cov_56.244561,10580..10838,,AY458016
SRR17179190,enterobacteriales,IncFIB(AP001918),99.12,682 / 682,NODE_30_length_33131_cov_179.850820,16448..17129,,AP001918
SRR17179190,enterobacteriales,IncFII,97.7,261 / 261,NODE_26_length_42775_cov_164.644480,11145..11404,,AY458016
SRR17179190,enterobacteriales,IncFII(pSE11),94.72,265 / 264,NODE_33_length_28338_cov_200.811047,12233..12492,,AP009242
SRR17179191,enterobacteriales,IncFIB(AP001918),99.12,682 / 682,NODE_29_length_32843_cov_133.922755,16160..16841,,AP001918
SRR17179191,enterobacteriales,IncFII,97.7,261 / 261,NODE_25_length_47926_cov_127.978098,16008..16267,,AY458016
SRR17179191,enterobacteriales,IncFII(pSE11),94.72,265 / 264,NODE_38_length_22458_cov_116.437737,9967..10226,,AP009242
SRR17179192,enterobacteriales,IncFIB(AP001918),99.27,682 / 682,NODE_37_length_37800_cov_87.639716,18204..18885,,AP001918
SRR17179192,enterobacteriales,IncFII,97.7,261 / 261,NODE_38_length_33311_cov_81.302311,11708..11967,,AY458016
SRR17179194,enterobacteriales,Col(pHAD28),93.89,131 / 131,NODE_113_length_7522_cov_1328.073741,3018..3148,,KU674895
SRR17179197,enterobacteriales,Col(pHAD28),92.37,131 / 131,NODE_71_length_6277_cov_780.037581,2808..2938,,KU674895
SRR17179197,enterobacteriales,IncFIA,99.48,388 / 388,NODE_59_length_19033_cov_114.620806,6078..6464,,AP001918
SRR17179197,enterobacteriales,IncFIB(AP001918),98.39,682 / 682,NODE_65_length_13214_cov_169.802847,11301..11982,,AP001918
SRR17179197,enterobacteriales,IncFII,95.79,261 / 261,NODE_67_length_11336_cov_104.934452,7480..7740,,AY458016
