filename	accession	GCF_accession	GCF_accession_without_version	length	num_contigs	info	refseq_organism_name	refseq_full_organism_name	bacsort_organism_name	curated_organism_name	taxid	species_taxid	bioproject	biosample	refseq_category	infraspecific_name	assembly_level	asm_name	submitter	ftp_path	count
GCF_000005845.2_ASM584v2_genomic.fna.gz	NC_000913.3	GCF_000005845.2	GCF_000005845	4641652	1	 Escherichia coli str. K-12 substr. MG1655, complete genome	Escherichia coli	Escherichia coli str. K-12 substr. MG1655		Escherichia coli	511145	562	PRJNA57779	SAMN02604091	reference genome	strain=K-12 substr. MG1655	Complete Genome	ASM584v2	Univ. Wisconsin	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/005/845/GCF_000005845.2_ASM584v2/GCF_000005845.2_ASM584v2_genomic.fna.gz	21
GCF_000183345.1_ASM18334v1_genomic.fna.gz	NC_017634.1	GCF_000183345.1	GCF_000183345	4894879	2	 Escherichia coli O83:H1 str. NRG 857C chromosome, complete genome 	Escherichia coli	Escherichia coli O83:H1 str. NRG 857C		Escherichia coli	685038	562	PRJNA161987	SAMN02603727	reference genome	strain=NRG 857C	Complete Genome	ASM18334v1	Public Health Agency of Canada Laboratory for Foodborne Zoonoses	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/183/345/GCF_000183345.1_ASM18334v1/GCF_000183345.1_ASM18334v1_genomic.fna.gz	19
GCF_000299455.1_ASM29945v1_genomic.fna.gz	NC_018658.1	GCF_000299455.1	GCF_000299455	5437407	4	 Escherichia coli O104:H4 str. 2011C-3493 chromosome, complete genome 	Escherichia coli	Escherichia coli O104:H4 str. 2011C-3493		Escherichia coli	1133852	562	PRJNA176127	SAMN01831188	reference genome	strain=2011C-3493	Complete Genome	ASM29945v1	Los Alamos National Laboratory	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/299/455/GCF_000299455.1_ASM29945v1/GCF_000299455.1_ASM29945v1_genomic.fna.gz	7
GCF_000026345.1_ASM2634v1_genomic.fna.gz	NC_011750.1	GCF_000026345.1	GCF_000026345	5132068	1	 Escherichia coli IAI39 chromosome, complete genome	Escherichia coli	Escherichia coli IAI39		Escherichia coli	585057	562	PRJNA59381	SAMEA3138234	reference genome	strain=IAI39	Complete Genome	ASM2634v1	Genoscope	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/026/345/GCF_000026345.1_ASM2634v1/GCF_000026345.1_ASM2634v1_genomic.fna.gz	6
